vehicle_id,start_time,last_time,time_diff
138,318.0,396.0,78.0
238,547.0,606.0,59.0
262,603.0,694.0,91.0
273,628.0,694.0,66.0
322,740.0,817.0,77.0
332,763.0,817.0,54.0
334,768.0,817.0,49.0
362,832.0,921.0,89.0
371,853.0,921.0,68.0
382,878.0,921.0,43.0
410,943.0,1000.0,57.0
454,1044.0,1131.0,87.0
538,1237.0,1315.0,78.0
547,1257.0,1315.0,58.0
597,1372.0,1446.0,74.0
640,1471.0,1551.0,80.0
648,1489.0,1551.0,62.0
734,1688.0,1760.0,72.0
759,1745.0,1866.0,121.0
761,1749.0,1866.0,117.0
769,1767.0,1866.0,99.0
777,1786.0,1867.0,81.0
830,1908.0,1972.0,64.0
835,1919.0,1972.0,53.0
860,1977.0,2039.0,62.0
861,1980.0,2039.0,59.0
900,2069.0,2181.0,112.0
914,2101.0,2181.0,80.0
919,2113.0,2181.0,68.0
950,2186.0,2236.0,50.0
1000,2298.0,2392.0,94.0
1011,2324.0,2393.0,69.0
1081,2484.0,2590.0,106.0
1084,2491.0,2590.0,99.0
1099,2526.0,2601.0,75.0
1127,2590.0,2706.0,116.0
1133,2604.0,2706.0,102.0
1157,2659.0,2706.0,47.0
1185,2723.0,2779.0,56.0
1252,2877.0,2916.0,39.0
1268,2914.0,2960.0,46.0
1290,2965.0,3021.0,56.0
1294,2975.0,3022.0,47.0
1360,3125.0,3231.0,106.0
1368,3144.0,3231.0,87.0
1373,3155.0,3231.0,76.0
1375,3160.0,3231.0,71.0
1382,3176.0,3233.0,57.0
1413,3247.0,3298.0,51.0
1448,3328.0,3441.0,113.0
1512,3475.0,3541.0,66.0
1517,3486.0,3541.0,55.0
1541,3541.0,3599.0,58.0
