time,vehicle_id,x,y
42,8,-131.31,12.91
43,8,-117.48,10.7
44,8,-103.43,8.45
45,8,-89.69,6.25
46,8,-75.88,4.04
47,8,-62.7,1.94
48,8,-48.59,-0.32
49,8,-35.5,-2.42
50,8,-25.7,-3.98
50,9,-135.62,13.6
51,8,-20.35,-4.84
51,9,-123.89,11.72
52,8,-19.45,-4.99
52,9,-112.59,9.92
53,17,-131.08,12.87
53,8,-19.32,-5.01
53,9,-101.16,8.09
54,17,-117.15,10.65
54,8,-19.25,-5.02
54,9,-89.18,6.17
55,17,-103.71,8.5
55,8,-19.22,-5.02
55,9,-77.29,4.27
56,17,-90.33,9.6
56,8,-19.22,-5.02
56,9,-65.9,2.45
57,17,-75.49,7.22
57,8,-19.22,-5.02
57,9,-54.78,0.67
58,17,-60.9,4.89
58,8,-19.22,-5.02
58,9,-43.61,-1.12
59,17,-46.56,2.59
59,8,-19.22,-5.02
59,9,-34.55,-2.57
60,17,-35.55,0.83
60,8,-19.22,-5.02
60,9,-28.8,-3.49
61,17,-28.99,-0.22
61,8,-19.22,-5.02
61,9,-26.88,-3.8
62,17,-26.88,-0.56
62,8,-19.22,-5.02
62,9,-26.64,-3.83
63,17,-26.24,-0.66
63,8,-19.22,-5.02
63,9,-26.63,-3.84
64,17,-26.18,-0.67
64,8,-19.22,-5.02
64,9,-26.63,-3.84
65,17,-26.14,-0.68
65,8,-19.22,-5.02
65,9,-26.63,-3.84
66,17,-26.13,-0.68
66,8,-19.22,-5.02
66,9,-26.63,-3.84
67,17,-26.13,-0.68
67,8,-19.22,-5.02
67,9,-26.63,-3.84
68,17,-26.13,-0.68
68,8,-19.22,-5.02
68,9,-26.63,-3.84
69,17,-26.13,-0.68
69,8,-19.22,-5.02
69,9,-26.63,-3.84
70,17,-26.13,-0.68
70,8,-19.22,-5.02
70,9,-26.63,-3.84
71,17,-26.13,-0.68
71,8,-19.22,-5.02
71,9,-26.63,-3.84
72,17,-26.13,-0.68
72,8,-19.22,-5.02
72,9,-26.63,-3.84
73,17,-26.13,-0.68
73,8,-19.22,-5.02
73,9,-26.63,-3.84
74,17,-26.13,-0.68
74,8,-19.22,-5.02
74,9,-26.63,-3.84
75,17,-26.13,-0.68
75,8,-19.22,-5.02
75,9,-26.63,-3.84
76,17,-26.13,-0.68
76,8,-17.56,-5.28
76,9,-26.63,-3.84
77,17,-24.66,-0.91
77,8,-13.57,-5.9
77,9,-25.73,-3.98
78,17,-21.91,-1.35
78,8,-7.12,-6.85
78,9,-23.46,-4.34
79,17,-16.95,-2.14
79,8,1.08,-7.83
79,9,-18.9,-5.07
80,17,-9.96,-3.21
80,8,11.11,-8.64
80,9,-12.75,-6.02
81,17,-0.48,-4.47
81,8,22.81,-9.39
81,9,-4.32,-7.2
82,17,11.48,-5.46
82,8,36.03,-10.18
82,9,5.64,-8.24
83,17,24.43,-6.27
83,8,50.31,-11.04
83,9,17.63,-9.08
84,17,37.83,-7.07
84,8,63.82,-11.85
84,9,29.57,-9.79
85,17,51.85,-7.92
85,8,77.94,-12.69
85,9,41.4,-10.5
86,17,65.59,-8.74
86,8,91.4,-13.5
86,9,52.79,-11.18
87,17,79.17,-6.35
87,8,104.62,-14.29
87,9,64.74,-11.9
88,17,94.65,-7.28
88,8,118.23,-15.11
88,9,76.89,-12.63
89,17,109.76,-8.19
89,8,131.56,-15.91
89,9,87.98,-13.3
90,17,124.97,-9.1
90,9,99.54,-13.99
91,17,140.51,-10.03
91,9,111.65,-14.72
92,9,123.69,-15.44
93,9,134.79,-16.1
105,55,-134.41,13.41
106,55,-121.81,11.39
107,55,-109.96,9.5
108,55,-97.65,7.53
109,55,-85.24,5.54
110,55,-72.32,3.47
111,55,-60.14,1.52
112,55,-47.03,-0.57
113,55,-34.27,-2.61
114,55,-24.86,-4.12
115,55,-19.89,-4.91
116,55,-19.36,-5.0
117,55,-19.28,-5.01
118,55,-19.23,-5.02
119,55,-19.22,-5.02
120,55,-19.22,-5.02
121,55,-19.22,-5.02
122,55,-19.22,-5.02
123,55,-19.22,-5.02
124,55,-19.22,-5.02
125,55,-19.22,-5.02
126,55,-19.22,-5.02
127,55,-19.22,-5.02
128,55,-19.22,-5.02
129,55,-19.22,-5.02
130,55,-19.22,-5.02
131,55,-19.22,-5.02
131,77,-136.58,13.75
132,55,-19.22,-5.02
132,77,-122.26,11.46
133,55,-19.22,-5.02
133,77,-108.41,9.25
134,55,-19.22,-5.02
134,77,-93.85,6.92
135,55,-19.22,-5.02
135,77,-80.08,4.72
136,55,-19.22,-5.02
136,77,-65.26,2.34
137,55,-19.22,-5.02
137,77,-51.01,0.06
138,55,-19.22,-5.02
138,77,-40.7,1.66
139,55,-19.22,-5.02
139,77,-31.18,3.37
140,55,-19.22,-5.02
140,77,-22.5,1.98
141,55,-19.22,-5.02
141,77,-18.27,1.31
142,55,-19.22,-5.02
142,77,-18.23,1.3
143,55,-19.22,-5.02
143,77,-18.22,1.3
144,55,-19.22,-5.02
144,77,-18.21,1.3
145,55,-19.22,-5.02
145,77,-18.21,1.3
146,55,-19.22,-5.02
146,77,-18.21,1.3
147,55,-19.22,-5.02
147,77,-18.21,1.3
148,55,-19.22,-5.02
148,77,-18.21,1.3
149,55,-19.22,-5.02
149,77,-18.21,1.3
150,55,-19.22,-5.02
150,77,-18.21,1.3
151,55,-19.22,-5.02
151,77,-18.21,1.3
152,55,-19.22,-5.02
152,77,-18.21,1.3
153,55,-19.22,-5.02
153,77,-18.21,1.3
154,55,-19.22,-5.02
154,77,-18.21,1.3
155,55,-19.22,-5.02
155,77,-18.21,1.3
156,55,-19.22,-5.02
156,77,-18.21,1.3
157,55,-19.22,-5.02
157,77,-18.21,1.3
158,55,-19.22,-5.02
158,77,-18.21,1.3
158,95,-132.92,13.17
159,55,-19.22,-5.02
159,77,-18.21,1.3
159,95,-120.13,11.12
160,55,-19.22,-5.02
160,77,-18.21,1.3
160,95,-107.64,9.12
161,55,-19.22,-5.02
161,77,-18.21,1.3
161,95,-95.39,7.16
162,55,-19.22,-5.02
162,77,-18.21,1.3
162,95,-82.45,5.09
163,55,-19.22,-5.02
163,77,-18.21,1.3
163,95,-70.01,3.1
164,55,-19.22,-5.02
164,77,-18.21,1.3
164,95,-57.34,4.32
165,55,-19.22,-5.02
165,77,-18.21,1.3
165,95,-45.3,2.39
166,55,-19.22,-5.02
166,77,-18.21,1.3
166,95,-35.24,0.78
167,55,-19.22,-5.02
167,77,-18.21,1.3
167,95,-29.58,-0.12
168,55,-19.22,-5.02
168,77,-18.21,1.3
168,95,-26.55,-0.61
169,55,-19.22,-5.02
169,77,-18.21,1.3
169,95,-26.33,-0.64
170,55,-19.22,-5.02
170,77,-18.21,1.3
170,95,-26.16,-0.67
171,55,-19.22,-5.02
171,77,-18.21,1.3
171,95,-26.14,-0.67
172,55,-19.22,-5.02
172,77,-18.21,1.3
172,95,-26.13,-0.68
173,55,-19.22,-5.02
173,77,-18.21,1.3
173,95,-26.13,-0.68
174,55,-19.22,-5.02
174,77,-18.21,1.3
174,95,-26.13,-0.68
175,111,-132.61,13.12
175,55,-19.22,-5.02
175,77,-18.21,1.3
175,95,-26.13,-0.68
176,111,-116.92,10.61
176,55,-19.22,-5.02
176,77,-18.21,1.3
176,95,-26.13,-0.68
177,111,-101.57,8.15
177,55,-19.22,-5.02
177,77,-18.21,1.3
177,95,-26.13,-0.68
178,111,-85.93,5.65
178,55,-19.22,-5.02
178,77,-18.21,1.3
178,95,-26.13,-0.68
179,111,-71.08,3.27
179,55,-19.22,-5.02
179,77,-18.21,1.3
179,95,-26.13,-0.68
180,111,-57.42,1.09
180,55,-19.22,-5.02
180,77,-18.21,1.3
180,95,-26.13,-0.68
181,111,-47.29,2.71
181,55,-19.22,-5.02
181,77,-18.21,1.3
181,95,-26.13,-0.68
182,111,-38.97,1.38
182,55,-19.22,-5.02
182,77,-18.21,1.3
182,95,-26.13,-0.68
183,111,-34.74,0.7
183,55,-19.22,-5.02
183,77,-18.21,1.3
183,95,-26.13,-0.68
184,111,-33.62,0.52
184,55,-19.22,-5.02
184,77,-18.21,1.3
184,95,-26.13,-0.68
185,111,-33.54,0.51
185,55,-19.22,-5.02
185,77,-18.21,1.3
185,95,-26.13,-0.68
186,111,-33.54,0.51
186,55,-19.22,-5.02
186,77,-18.21,1.3
186,95,-26.13,-0.68
187,111,-33.53,0.51
187,55,-19.22,-5.02
187,77,-18.21,1.3
187,95,-26.13,-0.68
188,111,-33.53,0.51
188,120,-142.37,14.68
188,55,-19.22,-5.02
188,77,-18.21,1.3
188,95,-26.13,-0.68
189,111,-33.53,0.51
189,120,-128.55,12.47
189,55,-19.22,-5.02
189,77,-18.21,1.3
189,95,-26.13,-0.68
190,111,-33.53,0.51
190,120,-115.64,10.4
190,55,-19.22,-5.02
190,77,-18.21,1.3
190,95,-26.13,-0.68
191,111,-33.53,0.51
191,120,-101.84,8.2
191,55,-19.22,-5.02
191,77,-18.21,1.3
191,95,-26.13,-0.68
192,111,-33.53,0.51
192,120,-88.58,6.07
192,55,-19.22,-5.02
192,77,-18.21,1.3
192,95,-26.13,-0.68
193,111,-33.53,0.51
193,120,-75.78,4.03
193,55,-19.22,-5.02
193,77,-18.21,1.3
193,95,-26.13,-0.68
194,111,-33.53,0.51
194,120,-62.79,1.95
194,55,-19.22,-5.02
194,77,-18.21,1.3
194,95,-26.13,-0.68
195,111,-33.53,0.51
195,120,-53.75,3.74
195,55,-19.22,-5.02
195,77,-18.21,1.3
195,95,-26.13,-0.68
196,111,-33.53,0.51
196,120,-45.87,5.72
196,55,-19.22,-5.02
196,77,-18.21,1.3
196,95,-26.13,-0.68
197,111,-33.53,0.51
197,120,-37.94,4.45
197,55,-19.22,-5.02
197,77,-18.21,1.3
197,95,-26.13,-0.68
198,111,-33.53,0.51
198,120,-33.71,3.78
198,126,-142.65,14.73
198,55,-19.22,-5.02
198,77,-18.21,1.3
198,95,-26.13,-0.68
199,111,-33.53,0.51
199,120,-33.09,3.68
199,126,-131.09,12.88
199,55,-19.22,-5.02
199,77,-18.21,1.3
199,95,-26.13,-0.68
200,111,-33.53,0.51
200,120,-33.04,3.67
200,126,-119.18,10.97
200,55,-19.22,-5.02
200,77,-18.21,1.3
200,95,-26.13,-0.68
201,111,-33.53,0.51
201,120,-33.03,3.67
201,126,-106.89,9.0
201,55,-19.22,-5.02
201,77,-18.21,1.3
201,95,-26.13,-0.68
202,111,-33.53,0.51
202,120,-33.02,3.67
202,126,-94.48,7.02
202,55,-19.22,-5.02
202,77,-18.21,1.3
202,95,-26.13,-0.68
203,111,-33.53,0.51
203,120,-33.02,3.67
203,126,-82.64,5.12
203,55,-19.22,-5.02
203,77,-18.21,1.3
203,95,-26.13,-0.68
204,111,-33.53,0.51
204,120,-33.02,3.67
204,126,-69.95,6.33
204,55,-19.22,-5.02
204,77,-18.21,1.3
204,95,-26.13,-0.68
205,111,-33.53,0.51
205,120,-33.02,3.67
205,126,-58.04,4.43
205,55,-19.22,-5.02
205,77,-18.21,1.3
205,95,-26.13,-0.68
206,111,-33.53,0.51
