time,vehicle_id,x,y,speed
42,18,495.41,-44.71,0.0
43,18,493.31,-44.5,2.1104738804354097
44,18,488.87,-44.06,4.461748536168301
45,18,483.12,-43.48,5.779178142262099
46,18,475.83,-42.75,7.326458899086263
47,18,467.08,-41.88,8.793145057372817
48,18,455.79,-40.75,11.34640912359497
49,18,442.06,-39.38,13.798181039542875
50,18,428.53,-38.03,13.597183531893684
51,18,414.07,-36.58,14.532518708056061
52,18,400.12,-35.18,14.02007489280994
53,18,386.79,-33.85,13.39618602438767
54,18,373.49,-32.52,13.366334576090795
55,18,359.12,-31.09,14.440976421281219
55,24,495.41,-44.71,0.0
56,18,345.18,-29.69,14.010124910221178
56,24,493.94,-44.57,1.4766516176810562
57,18,331.74,-28.35,13.506635406347502
57,24,490.85,-44.26,3.1055112300553427
58,18,317.91,-26.96,13.899676255222621
58,24,485.66,-43.74,5.215985045990831
59,18,304.2,-25.59,13.778280008767458
59,24,478.78,-43.05,6.914513721152105
60,18,290.91,-24.27,13.355392169457213
60,24,470.07,-42.18,8.753342218832739
61,18,276.54,-22.83,14.44197008721456
61,24,459.77,-41.15,10.351371889754528
62,18,263.01,-21.48,13.597183531893684
62,24,447.75,-39.95,12.079751653076299
63,18,249.2,-20.09,13.879776655263587
63,24,435.71,-38.74,12.100648742939384
64,18,235.41,-18.72,13.857885841642648
64,24,424.33,-37.61,11.435965197568585
65,18,221.3,-17.3,14.181272862476048
65,24,412.92,-36.47,11.466808623152271
65,28,495.41,-44.71,0.0
66,18,207.28,-15.9,14.089726753915432
66,24,401.88,-35.36,11.095661314225504
66,28,493.9,-44.56,1.5174320413119475
67,18,193.47,-14.52,13.87877876471846
67,24,389.8,-34.15,12.14044892085954
67,28,490.98,-44.27,2.9343653487593806
68,18,180.17,-13.19,13.366334576090795
68,24,377.95,-32.97,11.908606131701582
68,28,485.65,-43.74,5.356286026716687
69,18,166.74,-11.85,13.496684778122345
69,24,366.61,-31.83,11.397157540369415
69,28,479.0,-43.07,6.683666658354507
70,18,153.4,-10.52,13.406136654532508
70,24,354.61,-30.63,12.059850745345068
70,28,470.45,-42.22,8.592147577875988
71,18,139.52,-9.13,13.949426511509348
71,24,342.99,-29.47,11.677756633874509
71,28,459.34,-41.11,11.16531235568447
72,18,125.73,-7.75,13.858878020965484
72,24,331.28,-28.3,11.768304890679916
72,28,445.87,-39.76,13.537481301926116
73,18,112.07,-6.38,13.728528690285799
73,24,319.62,-27.14,11.717559472859493
73,28,432.0,-38.37,13.939476317279645
74,18,97.77,-4.95,14.37132213820287
74,24,308.63,-26.04,11.044912856152385
74,28,418.84,-37.06,13.22504064265969
75,18,83.84,-3.56,13.999178547329118
75,24,297.64,-24.94,11.044912856152383
75,28,404.78,-35.65,14.130523698716905
76,18,70.05,-2.18,13.858878020965484
76,24,285.55,-23.73,12.150399170397629
76,28,391.02,-34.27,13.829027442304096
77,18,56.86,-0.86,13.255885485323113
77,24,273.78,-22.55,11.829002493870771
77,28,377.0,-32.87,14.089726753915404
78,18,43.14,0.51,13.788230488354912
78,24,262.71,-21.45,11.12451796708513
78,28,363.08,-31.48,13.989227998713883
79,18,31.77,1.65,11.427007482276364
79,24,250.79,-20.25,11.980250414745083
79,28,350.08,-30.18,13.064838307457157
80,18,23.79,2.44,8.019008666911391
80,24,238.96,-19.07,11.888704723391847
80,28,336.42,-28.82,13.727534374387819
81,18,19.68,2.86,4.131404119666823
81,24,227.87,-17.96,11.145411611959428
81,28,323.11,-27.49,13.376284985002378
82,18,19.39,2.88,0.2906888370749718
82,24,216.51,-16.83,11.416063244393854
82,28,309.16,-26.09,14.02007489280994
83,18,19.32,2.89,0.07071067811865507
83,24,204.42,-15.62,12.150399170397659
83,28,295.38,-24.71,13.848927756328315
84,18,19.3,2.89,0.019999999999999574
84,24,192.78,-14.45,11.69865376870346
84,28,282.08,-23.38,13.366334576090795
85,18,19.29,2.89,0.010000000000001563
85,24,180.72,-13.25,12.119554447255892
85,28,268.83,-22.06,13.315588608844898
86,18,19.29,2.89,0.0
86,24,169.75,-12.15,11.025012471648273
86,28,255.51,-20.73,13.386235467822901
87,18,19.29,2.89,0.0
87,24,158.26,-11.0,11.547406635257987
87,28,242.57,-19.43,13.005137446409398
88,18,19.29,2.89,0.0
88,24,146.31,-9.81,12.009104879215592
88,28,229.74,-18.15,12.893692256293368
89,18,17.66,3.06,1.6388410539158447
89,24,134.87,-8.66,11.497656282912615
89,28,215.68,-16.74,14.130523698716905
90,18,14.33,3.39,3.346311402126228
90,24,123.49,-7.52,11.436957637413904
90,28,202.38,-15.41,13.366334576090795
91,18,8.99,3.92,5.366237042844827
91,24,111.5,-6.33,12.048908664273286
91,28,189.15,-14.09,13.295687270690438
92,18,1.62,4.66,7.407057445436751
92,24,99.76,-5.15,11.799152511939146
92,28,175.35,-12.71,13.86882835714684
93,18,-8.15,5.64,9.81902744674848
93,24,87.88,-3.96,11.93945141118302
93,28,161.68,-11.34,13.73847880953345
94,18,-19.4,6.76,11.305613649864387
94,24,76.35,-2.81,11.587208464509475
94,28,148.74,-10.05,13.004141647952007
95,18,-32.21,8.04,12.8737912053909
95,24,65.21,-1.7,11.195164134571677
95,28,135.92,-8.77,12.883741692536393
96,18,-46.61,9.48,14.47182089441408
96,24,54.05,-0.58,11.216059914247959
96,28,122.43,-7.42,13.557381753126208
97,18,-59.96,10.82,13.417082395215438
97,24,43.0,0.52,11.104616157256402
97,28,108.9,-6.07,13.597183531893656
98,18,-74.14,12.24,14.250922777139731
98,24,31.51,1.67,11.547406635257977
98,28,95.48,-4.72,13.487731462332723
99,18,-88.44,13.67,14.37132213820287
99,24,20.4,2.78,11.16531235568446
99,28,82.66,-3.44,12.883741692536379
100,18,-101.86,15.01,13.486734222931808
100,24,9.18,3.91,11.276759286248863
100,28,69.45,-2.12,13.275786229071326
101,18,-115.09,16.33,13.29568727069045
101,24,-1.73,5.0,10.964314844074845
101,28,56.3,-0.81,13.215089859702058
102,18,-128.33,17.66,13.30663368399387
102,24,-13.25,6.15,11.577257879135283
102,28,43.38,0.49,12.985237772178062
103,18,-142.46,19.07,14.200176055246635
103,24,-24.29,7.25,11.094665384769383
103,28,29.5,1.87,13.94843360381373
104,18,-156.06,20.43,13.667830844724405
104,24,-36.21,8.44,11.97925289824036
104,28,15.75,3.25,13.81907739322709
105,18,-169.47,21.77,13.476783740937595
105,24,-47.34,9.56,11.186210260852425
105,28,2.49,4.57,13.325539388707686
106,18,-183.89,23.21,14.491721774861663
106,24,-58.59,10.68,11.305613649864389
106,28,-10.34,5.86,12.89468882912651
107,18,-197.64,24.59,13.81907739322709
107,24,-69.64,11.79,11.105611194346753
107,28,-23.2,7.14,12.923544405464005
108,18,-210.83,25.91,13.25588548532314
108,24,-80.6,12.88,11.014068276527064
108,28,-36.81,8.5,13.677781252820214
109,18,-225.07,27.33,14.310625423090336
109,24,-91.97,14.02,11.427007482276368
109,28,-49.66,9.79,12.914588650049984
110,18,-239.08,28.73,14.07977627663169
110,24,-102.92,15.12,11.005112448312378
110,28,-63.15,11.14,13.55738175312623
111,18,-253.49,30.17,14.4817713005005
111,24,-114.41,16.26,11.546415028050909
111,28,-76.71,12.49,13.627035627751175
112,18,-266.76,31.5,13.336483794463948
112,24,-125.36,17.36,11.005112448312378
112,28,-89.71,13.79,13.064838307457157
113,18,-280.46,32.87,13.768329600935608
113,24,-136.72,18.5,11.417057414237698
113,28,-103.12,15.14,13.477781716588241
114,18,-294.77,34.3,14.381272544528182
114,24,-148.69,19.69,12.029006609026366
114,28,-116.74,16.5,13.687731733198154
115,18,-308.54,35.68,13.838977563389612
115,24,-160.65,20.89,12.020049916701685
115,28,-129.77,17.8,13.094689763411747
116,18,-322.88,37.11,14.411124175441667
116,24,-171.73,22.0,11.13546137346808
116,28,-143.46,19.17,13.758379265015192
117,18,-336.54,38.48,13.728528690285811
117,24,-182.78,23.1,11.104616157256416
117,28,-156.8,20.5,13.406136654532508
118,18,-350.72,39.9,14.250922777139738
118,24,-193.91,24.22,11.186210260852416
118,28,-170.16,21.84,13.427032434607417
119,18,-364.47,41.27,13.818082356101371
119,24,-205.7,25.39,11.847911208310089
119,28,-182.41,23.07,12.31159615971869
120,18,-378.28,42.65,13.878778764718403
120,24,-217.77,26.6,12.130498753142861
120,28,-195.7,21.18,13.423717815866057
121,18,-392.67,44.09,14.461870556743387
121,24,-228.69,27.69,10.974265351266103
121,28,-209.63,22.57,13.999178547329132
122,18,-405.95,45.42,13.34643398065563
122,24,-239.98,28.82,11.346409123594999
122,28,-223.38,23.95,13.81907739322709
123,18,-419.7,46.8,13.819077393227088
123,24,-251.35,29.96,11.427007482276368
123,28,-237.24,25.33,13.928531868075702
124,18,-433.06,48.13,13.426038134907868
124,24,-262.54,31.08,11.245910367773725
124,28,-250.4,26.65,13.226034931149997
125,18,-447.45,49.57,14.46187055674333
125,24,-273.9,32.22,11.417057414237656
125,28,-263.79,27.99,13.456882997187737
126,18,-461.64,50.99,14.260873044803391
126,24,-285.2,33.35,11.356359451866618
126,28,-277.29,29.34,13.5673320885132
127,18,-474.97,52.32,13.39618602438773
127,24,-297.12,34.54,11.979252898240373
127,28,-290.24,30.63,13.014092361743852
128,18,-488.44,53.67,13.537481301926116
128,24,-308.87,35.71,11.80810738433556
128,28,-303.5,31.96,13.326533682844904
129,24,-320.19,36.85,11.37725801764203
129,28,-317.52,33.36,14.089726753915404
130,24,-332.22,38.05,12.089702229583684
130,28,-330.99,34.71,13.537481301926173
131,24,-343.61,39.19,11.446907879423145
131,28,-344.38,36.05,13.456882997187707
132,24,-355.06,40.33,11.5066111431646
132,28,-357.57,37.36,13.254893436010716
133,24,-367.18,41.54,12.180250407934974
133,28,-370.9,38.7,13.397182539623754
134,24,-378.57,42.68,11.446907879423145
134,28,-384.3,40.04,13.466833332302025
135,24,-389.86,43.81,11.346409123595027
135,28,-397.69,41.38,13.456882997187709
136,24,-401.85,45.01,12.049900414526263
136,28,-411.16,42.72,13.536487727619773
137,24,-413.34,46.16,11.54740663525793
137,28,-424.86,44.09,13.768329600935608
138,24,-424.34,47.26,11.05486318323298
138,28,-438.55,45.46,13.758379265015192
139,24,-435.94,48.42,11.657855720500256
139,28,-452.01,46.81,13.527531186436033
140,24,-446.93,49.52,11.044912856152385
140,28,-465.9,48.2,13.959376776919505
141,24,-458.42,50.67,11.547406635257987
141,28,-479.14,49.52,13.305637902783927
142,24,-469.9,51.82,11.5374563921169
142,28,-492.89,50.89,13.818082356101371
143,24,-481.56,52.98,11.71755947285955
144,24,-493.26,54.15,11.75835447671143
149,65,495.41,-44.71,0.0
150,65,493.46,-44.52,1.9592345444076307
151,65,489.36,-44.11,4.120449004659531
152,65,482.87,-43.46,6.5224688577255865
153,65,474.0,-42.57,8.914538686886724
154,65,463.18,-41.49,10.873766596722584
155,65,450.7,-40.24,12.54244394047669
156,65,437.95,-38.97,12.813094864239474
157,65,424.67,-37.64,13.34643398065563
158,65,411.19,-36.29,13.547431490876804
159,65,397.59,-34.93,13.667830844724433
160,65,384.87,-33.66,12.783242937533466
161,65,372.3,-32.4,12.632992519589324
162,65,358.7,-31.04,13.667830844724433
163,65,345.98,-29.77,12.783242937533466
164,65,332.55,-28.43,13.496684778122374
164,71,495.41,-44.71,0.0
165,65,319.99,-27.17,12.623042422490707
