vehicle_id,start_time,last_time,time_diff
18,42.0,88.0,46.0
81,186.0,263.0,77.0
113,259.0,351.0,92.0
115,263.0,351.0,88.0
117,268.0,352.0,84.0
149,343.0,439.0,96.0
162,372.0,440.0,68.0
171,391.0,441.0,50.0
172,394.0,441.0,47.0
210,481.0,527.0,46.0
242,554.0,615.0,61.0
348,797.0,879.0,82.0
349,800.0,879.0,79.0
356,814.0,880.0,66.0
394,901.0,967.0,66.0
433,990.0,1055.0,65.0
558,1276.0,1319.0,43.0
622,1422.0,1495.0,73.0
661,1512.0,1583.0,71.0
693,1585.0,1671.0,86.0
776,1775.0,1847.0,72.0
808,1848.0,1935.0,87.0
817,1868.0,1935.0,67.0
863,1974.0,2023.0,49.0
887,2028.0,2111.0,83.0
894,2045.0,2112.0,67.0
902,2063.0,2116.0,53.0
978,2236.0,2287.0,51.0
1010,2310.0,2375.0,65.0
1040,2378.0,2463.0,85.0
1135,2595.0,2639.0,44.0
1170,2675.0,2727.0,52.0
1193,2728.0,2815.0,87.0
1201,2746.0,2815.0,69.0
1287,2944.0,2991.0,47.0
1348,3082.0,3167.0,85.0
1358,3105.0,3167.0,62.0
1360,3110.0,3168.0,58.0
1383,3163.0,3255.0,92.0
1384,3166.0,3255.0,89.0
1427,3263.0,3343.0,80.0
1499,3427.0,3519.0,92.0
1515,3464.0,3519.0,55.0
1522,3481.0,3529.0,48.0
1538,3517.0,3607.0,90.0
1588,3631.0,3696.0,65.0
1620,3704.0,3783.0,79.0
1708,3905.0,3959.0,54.0
1776,4061.0,4135.0,74.0
1797,4109.0,4157.0,48.0
1820,4161.0,4223.0,62.0
1850,4230.0,4311.0,81.0
1860,4253.0,4312.0,59.0
1928,4409.0,4487.0,78.0
1966,4495.0,4575.0,80.0
2047,4680.0,4751.0,71.0
2231,5101.0,5191.0,90.0
2241,5124.0,5191.0,67.0
2277,5206.0,5279.0,73.0
2320,5304.0,5367.0,63.0
2321,5307.0,5368.0,61.0
2364,5405.0,5455.0,50.0
2385,5453.0,5543.0,90.0
2398,5483.0,5543.0,60.0
2403,5495.0,5554.0,59.0
2463,5631.0,5719.0,88.0
2473,5654.0,5719.0,65.0
2474,5657.0,5720.0,63.0
2541,5810.0,5895.0,85.0
2555,5842.0,5905.0,63.0
2560,5853.0,5906.0,53.0
2627,6006.0,6071.0,65.0
2628,6009.0,6071.0,62.0
2630,6015.0,6072.0,57.0
2698,6169.0,6247.0,78.0
2709,6194.0,6247.0,53.0
2781,6360.0,6423.0,63.0
2786,6370.0,6423.0,53.0
2813,6431.0,6511.0,80.0
2852,6521.0,6599.0,78.0
2853,6524.0,6599.0,75.0
2865,6550.0,6600.0,50.0
2902,6635.0,6687.0,52.0
2925,6688.0,6775.0,87.0
2972,6795.0,6863.0,68.0
2987,6829.0,6877.0,48.0
3082,7046.0,7127.0,81.0
3084,7051.0,7127.0,76.0
3086,7057.0,7128.0,71.0
3117,7127.0,7199.0,72.0
