time,vehicle_id,x,y,x_smoothed,y_smoothed
39,17,44.71,495.41,44.71,495.41
40,17,44.47,493.01,44.59,494.21000000000004
41,17,44.06,488.85,44.413333333333334,492.42333333333335
42,17,43.51,483.37,44.1875,490.16
43,17,42.78,476.12,43.906,487.35200000000003
44,17,41.82,466.47,43.55833333333334,483.87166666666667
45,17,40.68,455.03,42.88666666666666,477.1416666666667
46,17,39.35,441.82,42.03333333333333,468.60999999999996
47,17,37.95,427.72,41.015,458.4216666666667
48,17,36.56,413.84,39.85666666666667,446.8333333333333
49,17,35.21,400.35,38.595,434.205
50,17,33.79,386.2,37.25666666666667,420.82666666666665
51,17,32.43,372.6,35.88166666666667,407.0883333333333
52,17,31.05,358.77,34.498333333333335,393.24666666666667
53,17,29.64,344.66,33.11333333333334,379.40333333333336
54,17,28.31,331.33,31.738333333333333,365.65166666666664
55,17,26.97,317.92,30.365,351.91333333333336
56,17,25.65,304.72,29.00833333333333,338.3333333333333
57,17,24.26,290.9,27.646666666666672,324.7166666666667
58,17,22.83,276.58,26.276666666666667,311.0183333333334
59,17,21.4,262.25,24.903333333333332,297.28333333333336
60,17,19.98,248.08,23.515,283.4083333333333
60,26,44.71,495.41,26.471666666666664,312.99
61,17,18.66,234.87,25.30666666666667,301.34833333333336
61,26,44.49,493.2,28.67833333333333,335.065
62,17,17.34,221.61,27.763333333333332,325.90333333333336
62,26,44.07,488.98,31.541666666666668,363.69166666666666
63,17,15.94,207.6,30.868333333333336,356.945
63,26,43.46,482.9,30.659999999999997,354.85999999999996
64,17,14.53,193.57,29.971666666666664,347.9766666666667
64,26,42.65,474.81,29.664999999999996,344.9116666666667
65,17,13.11,179.37,28.959999999999997,337.87166666666667
65,26,41.64,464.7,28.555000000000003,333.825
66,17,11.75,165.7,27.856666666666666,326.84166666666664
66,26,40.38,452.05,27.343333333333334,321.7
66,28,44.71,495.41,32.373333333333335,372.00666666666666
67,17,10.36,151.83,26.991666666666664,318.1766666666667
67,26,39.12,439.51,31.326666666666664,361.53333333333336
67,28,44.56,493.87,31.813333333333333,366.395
68,17,9.03,138.57,31.36,361.8733333333334
68,26,37.93,427.6,30.951666666666668,357.79833333333335
68,28,44.15,489.78,30.858333333333334,356.85999999999996
69,17,7.65,124.74,30.40666666666667,352.345
69,26,36.68,415.06,30.0,348.27
69,28,43.53,483.62,29.828333333333333,346.56166666666667
70,17,6.32,111.42,29.376666666666665,342.0366666666667
70,26,35.45,402.78,28.963333333333335,337.9
70,28,42.68,475.03,28.718333333333334,335.44166666666666
71,17,4.91,97.31,28.261666666666667,330.86999999999995
71,26,34.25,390.79,27.85666666666667,326.825
71,28,41.67,464.98,27.54666666666667,323.7183333333333
72,17,3.51,83.37,27.078333333333337,319.04333333333335
72,26,32.96,377.89,26.663333333333338,314.89500000000004
72,28,40.51,453.41,26.301666666666666,311.2916666666667
73,17,2.13,69.56,25.838333333333335,306.6666666666667
73,26,31.73,365.52,25.418333333333333,302.455
73,28,39.16,439.87,25.0,298.27
74,17,0.72,55.42,24.535,293.6116666666667
74,26,30.47,352.93,24.12,289.45166666666665
74,28,37.85,426.8,23.676666666666666,285.0166666666667
75,17,-0.64,41.87,23.215000000000003,280.40166666666664
75,26,29.22,340.51,22.796666666666663,276.23333333333335
75,28,36.51,413.35,22.355,271.81333333333333
76,17,-1.99,28.36,21.903333333333332,267.30333333333334
76,26,28.03,328.54,21.496666666666666,263.23833333333334
76,28,35.17,399.95,21.05,258.7633333333333
77,17,-2.89,19.33,20.675,255.0066666666667
77,26,26.86,316.82,20.281666666666666,251.05833333333337
77,28,33.78,386.09,19.826666666666668,246.515
78,17,-3.4,14.24,19.591666666666665,244.16166666666666
78,26,25.58,304.05,19.183333333333334,240.08
78,28,32.46,372.92,18.731666666666666,235.57500000000002
