time,vehicle_id,x,y,speed
387,169,-44.71,-495.41,0.0
388,169,-44.5,-493.28,2.1403270778084886
389,169,-44.14,-489.69,3.6080049889100514
390,169,-43.55,-483.78,5.939377071713859
391,169,-42.73,-475.57,8.25084844122104
392,169,-41.78,-466.03,9.587184153858754
393,169,-40.68,-455.05,11.034962618876385
394,169,-39.54,-443.69,11.417057414237712
395,169,-38.49,-433.16,10.58222093891445
396,169,-37.39,-422.16,11.05486318323298
397,169,-36.32,-411.45,10.763317332495626
398,169,-35.3,-401.24,10.260823553691955
399,169,-34.25,-390.74,10.552369402176934
400,169,-33.2,-380.3,10.492668869262955
401,169,-32.12,-369.5,10.853865670810572
402,169,-31.09,-359.19,10.361322309435222
403,169,-29.99,-348.15,11.094665384769405
404,169,-28.9,-337.21,10.99416663508426
405,169,-27.78,-326.04,11.226009976835005
406,169,-26.72,-315.44,10.652868158388166
407,169,-25.62,-304.48,11.015062414711936
408,169,-24.55,-293.79,10.743416588776586
409,169,-23.5,-283.24,10.602122429023362
410,169,-22.47,-272.94,10.351371889754528
411,169,-21.43,-262.51,10.481722186740122
412,169,-20.34,-251.61,10.954364427021748
413,169,-19.27,-240.92,10.743416588776615
414,169,-18.23,-230.5,10.471771578868578
415,169,-17.1,-219.27,11.286708997754827
416,169,-16.0,-208.22,11.104616157256416
417,169,-14.94,-197.67,10.603117466104024
418,169,-13.86,-186.83,10.893667885519525
419,169,-12.76,-175.84,11.044912856152383
420,169,-11.72,-165.47,10.42201995776251
421,169,-10.59,-154.19,11.33645888273759
422,169,-9.48,-143.04,11.205114903471545
423,169,-8.47,-132.92,10.17027531584077
424,169,-7.38,-122.04,10.9344638643145
425,169,-6.34,-111.61,10.481722186740122
426,169,-5.26,-100.89,10.774265636227835
427,169,-4.15,-89.77,11.175262860443153
428,169,-3.04,-78.62,11.20511490347153
429,169,-1.93,-67.56,11.115561164421708
430,169,-0.92,-57.48,10.130473828997344
431,169,0.13,-46.95,10.582220938914471
432,169,1.14,-36.8,10.200127450184146
433,169,2.14,-26.8,10.049875621120886
434,169,2.7,-21.28,5.548333083007904
435,169,2.8,-20.19,1.0945775440780794
436,169,-0.32,-19.36,3.2285135898738293
437,169,-0.05,-16.65,2.7234169713798884
438,169,0.42,-11.94,4.733392018415546
439,169,0.45,-11.6,0.3413209633175201
440,169,0.46,-11.52,0.08062257748298557
441,169,0.46,-11.51,0.009999999999999787
442,169,0.46,-11.51,0.0
443,169,0.46,-11.51,0.0
444,169,0.46,-11.51,0.0
445,169,0.46,-11.51,0.0
446,169,0.46,-11.51,0.0
447,169,0.46,-11.51,0.0
448,169,0.46,-11.51,0.0
449,169,0.46,-11.51,0.0
450,169,0.46,-11.51,0.0
451,169,0.46,-11.51,0.0
452,169,0.46,-11.51,0.0
453,169,0.46,-11.51,0.0
454,169,0.46,-11.51,0.0
455,169,0.46,-11.51,0.0
456,169,0.46,-11.51,0.0
457,169,0.46,-11.51,0.0
458,169,0.46,-11.51,0.0
459,169,0.46,-11.51,0.0
460,169,0.46,-11.51,0.0
461,169,0.46,-11.51,0.0
462,169,0.46,-11.51,0.0
463,169,0.46,-11.51,0.0
464,169,0.46,-11.51,0.0
465,169,0.46,-11.51,0.0
466,169,0.46,-11.51,0.0
467,169,0.46,-11.51,0.0
468,169,0.46,-11.51,0.0
469,169,0.46,-11.51,0.0
470,169,0.46,-11.51,0.0
471,169,0.46,-11.51,0.0
472,169,0.46,-11.51,0.0
473,169,0.46,-11.51,0.0
474,169,0.46,-11.51,0.0
475,169,0.46,-11.51,0.0
476,169,0.46,-11.51,0.0
477,169,0.46,-11.51,0.0
478,169,0.46,-11.51,0.0
479,169,0.46,-11.51,0.0
480,169,0.46,-11.51,0.0
481,169,0.46,-11.51,0.0
482,169,0.46,-11.51,0.0
483,169,0.46,-11.51,0.0
484,169,0.46,-11.51,0.0
485,169,0.46,-11.51,0.0
486,169,0.62,-9.92,1.5980300372646314
487,169,0.92,-6.96,2.97516386103354
488,169,1.41,-1.96,5.023952627165189
489,169,2.16,5.47,7.467757360814557
490,169,3.03,14.22,8.793145057372817
491,169,4.05,24.36,10.191172650877817
492,169,5.11,34.95,10.642917833000501
493,169,6.15,45.35,10.451870645965725
494,169,7.19,55.77,10.471771578868593
495,169,8.21,65.98,10.260823553691976
496,169,9.29,76.77,10.843915344560738
497,169,10.32,87.13,10.411075832977108
498,169,11.37,97.62,10.54241907723271
499,169,12.45,108.36,10.794165090455115
500,169,13.56,119.53,11.225016703773765
501,169,14.67,130.62,11.145411611959428
502,169,15.8,141.87,11.30660868695826
503,169,19.99,151.69,10.676539701607439
504,169,21.02,162.0,10.361322309435222
505,169,22.13,173.1,11.155361939444182
506,169,23.15,183.23,10.18122291279392
507,169,24.21,193.83,10.652868158388166
508,169,25.31,204.83,11.054863183232978
509,169,26.36,215.33,10.552369402176936
510,169,27.43,226.09,10.813070794182373
511,169,28.55,237.26,11.226009976835034
512,169,29.59,247.66,10.451870645965732
513,169,30.69,258.66,11.054863183233008
514,169,31.77,269.44,10.833965109783186
515,169,32.84,280.11,10.723516214376717
516,169,33.86,290.34,10.280724682628128
517,169,34.89,300.64,10.351371889754528
518,169,35.9,310.75,10.160324797958
519,169,36.97,321.48,10.783218443488957
520,169,38.07,332.46,11.034962618876385
521,169,39.17,343.47,11.064813599876008
522,169,40.3,354.69,11.276759286248835
523,169,41.36,365.37,10.732474085689661
524,169,42.33,375.03,9.708578680733828
525,169,43.37,385.42,10.441920321473484
526,169,44.5,396.68,11.316558664187616
527,169,45.59,407.65,11.024019230752428
528,169,46.73,419.0,11.407107433525841
529,169,47.83,430.05,11.104616157256416
530,169,48.85,440.2,10.201122487255976
531,169,49.96,451.3,11.15536193944421
532,169,50.97,461.45,10.200127450184118
533,169,51.99,471.64,10.240922809981528
534,169,53.13,482.99,11.407107433525841
535,169,54.24,494.14,11.205114903471516
785,343,-44.71,-495.41,0.0
786,343,-44.55,-493.82,1.5980300372646636
787,343,-44.25,-490.83,3.005012479175428
788,343,-43.81,-486.43,4.4219452732931686
789,343,-43.2,-480.29,6.1702269002039
790,343,-42.39,-472.21,8.12049875315554
791,343,-41.39,-462.15,10.109579615394502
792,343,-40.38,-452.03,10.17027531584077
793,343,-39.39,-442.17,9.909576176608118
794,343,-38.46,-432.82,9.396137504315293
795,343,-37.48,-423.12,9.749379467432775
796,343,-36.48,-413.05,10.119530621525875
797,343,-35.48,-403.05,10.04987562112089
798,343,-34.51,-393.38,9.718528695229557
799,343,-33.54,-383.67,9.758329775120309
800,343,-32.58,-374.1,9.618029943808653
